cha_labels,F:\UCLH_GLAS\icEEG\851\W158_1\Patient5t1_09182009122549\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Patient5t1_09182009122549\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Patient5t1_09182009122549\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Patient5t1_09182009122549\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Patient5t1_09182009122549\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Patient5t1_09182009122549\Pruned_6.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_6.edf,F:\UCLH_GLAS\icEEG\851\W158_1\Pruned_09182009130308\Pruned_7.edf,F:\UCLH_GLAS\icEEG\851\W158_10_Day4\Pruned_11062009093746\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_10_Day4\Pruned_11062009093746\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_11\Patient7t4_11062009155825\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_11\Patient7t4_11062009155825\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_11\Patient7t4_11062009155825\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_11\Patient7t4_11062009155825\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_12\Patient7t5_11062009172731\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_13\Patient7t6_11092009090317\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_13\Patient7t6_11092009090317\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_14\Patient7t7_11092009092624\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_10.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_11.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_12.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_13.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_14.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_15.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_16.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_17.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_18.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_19.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_20.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_6.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_7.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_8.edf,F:\UCLH_GLAS\icEEG\851\W158_15\Patient7t8_11092009102020\Pruned_9.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_6.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_7.edf,F:\UCLH_GLAS\icEEG\851\W158_16\Patient7t9_11092009110144\Pruned_8.edf,F:\UCLH_GLAS\icEEG\851\W158_17\Patient7t9_11172009162802\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_17\Patient7t9_11172009162802\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_17\Patient7t9_11172009162802\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_17\Patient7t9_11172009162802\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_19\Patient7t9_11172009170556\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_1.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_2.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_3.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_4.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_5.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_6.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_7.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_8.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t3_07252009021942\Patient5t3_9.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_1.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_2.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_3.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_4.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_5.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_6.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_7.edf,F:\UCLH_GLAS\icEEG\851\W158_2\Patient5t4_07252009102100\Patient5t4_8.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient31t1_07292009113840\Patient31t1_1.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient31t1_07292009113840\Patient31t1_2.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient31t1_07292009113840\Patient31t1_3.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient32t1_07292009142319\Patient32t1_1.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient32t1_07292009142319\Patient32t1_2.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient32t1_07292009142319\Patient32t1_3.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient32t1_07292009142319\Patient32t1_4.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient32t1_07292009142319\Patient32t1_5.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient7t10_11102009180150\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient7t10_11102009180150\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient7t10_11102009180150\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_20\Patient7t10_11102009180150\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_6.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_7.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_8.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t11_11182009092458\Pruned_9.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t12_11182009104030\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t12_11182009104030\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_21\Patient7t12_11182009104030\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient33t1_07302009093011\Patient33t1_1.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient33t1_07302009093011\Patient33t1_2.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient33t1_07302009093011\Patient33t1_3.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient7t11_11182009094138\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient7t11_11182009094138\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient7t11_11182009094138\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient7t11_11182009094138\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient7t11_11182009094138\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_22\Patient7t11_11182009094138\Pruned_6.edf,F:\UCLH_GLAS\icEEG\851\W158_23\Patient7t12_11182009101644\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_23\Patient7t12_11182009101644\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_24\Patient34t1_07302009125328\Patient34t1_1.edf,F:\UCLH_GLAS\icEEG\851\W158_24\Patient34t1_07302009125328\Patient34t1_2.edf,F:\UCLH_GLAS\icEEG\851\W158_24\Patient34t1_07302009125328\Patient34t1_3.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient43t1_07312009100809\Patient43t1_1.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient43t1_07312009100809\Patient43t1_2.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient43t1_07312009100809\Patient43t1_3.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient43t1_07312009100809\Patient43t1_4.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t1_11182009133427\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t1_11182009133427\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t1_11182009133427\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t1_11182009133427\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t1_11182009133427\Pruned_5.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t2_11182009140408\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t2_11182009140408\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t2_11182009140408\Pruned_3.edf,F:\UCLH_GLAS\icEEG\851\W158_25\Patient5t2_11182009140408\Pruned_4.edf,F:\UCLH_GLAS\icEEG\851\W158_3\Patient5t5_07252009182212\Patient5t5_1.edf,F:\UCLH_GLAS\icEEG\851\W158_3\Patient5t6_07262009022241\Patient5t6_1.edf,F:\UCLH_GLAS\icEEG\851\W158_4\Patient5t7_10142009174700\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_5\Patient5t7_10152009091207\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_6\Patient5t7_10152009093552\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_6\Patient5t7_10152009093552\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_6\Patient7t1_11042009163852\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_6\Patient7t1_11042009163852\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_7\Patient7t2_11042009175934\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_7\Patient7t2_11042009175934\Pruned_2.edf,F:\UCLH_GLAS\icEEG\851\W158_8\Patient7t2_11042009182530\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_9\Patient7t2_11052009083714\Pruned_1.edf,F:\UCLH_GLAS\icEEG\851\W158_9\Patient7t2_11052009083714\Pruned_2.edf
G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,,,G1,G1,G1,,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,,G1,G1,,,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1,G1
G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,,G2,G2,G2,G2,,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,,G2,G2,,,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2,G2
G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,G3,G3,G3,G3,,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3,G3
G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,,G4,G4,G4,G4,,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4,G4
G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,,G5,G5,G5,G5,,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5,G5
G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,,G6,G6,G6,G6,,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6,G6
G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,,G7,G7,G7,G7,,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7,G7
G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,,G8,G8,G8,G8,,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,,G8,G8,G8,,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8,G8
G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,,G9,G9,G9,G9,,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,,,,,,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9,G9
G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,G10,G10,G10,G10,,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,,,,,,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10,G10
G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,,G11,G11,G11,G11,,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,,,,,,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11,G11
G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,,G12,G12,G12,G12,,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,,,,,,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12,G12
G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,,G13,G13,G13,G13,,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,,,,,,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13,G13
G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,,,,,,,,,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,,,,G14,G14,G14,G14,G14,G14,G14,G14,,,,,,,,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14
G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,,G15,G15,G15,G15,,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,,,,,,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15,G15
G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,,G16,G16,G16,G16,,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,,,,,,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16,G16
G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,,G17,G17,G17,G17,,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,,,,,,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17
G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,,G18,G18,G18,G18,,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,,,,,,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18,G18
